DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;;;;;;;;;;;
Casos Prováveis por Município infecção e Mês 1º Sintoma(s);;;;;;;;;;;;;;
Período:2016;;;;;;;;;;;;;;
Município infecção;Ign/Em Branco;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
110070 Campo Novo de Rondônia;-;-;-;1;-;-;-;-;-;-;-;-;-;1
110020 Porto Velho;-;-;-;-;-;-;1;-;1;-;-;-;1;3
110028 Rolim de Moura;-;-;1;-;-;-;-;-;-;-;-;-;-;1
110030 Vilhena;-;1;-;1;-;-;-;-;-;-;-;-;-;2
130260 Manaus;-;-;-;-;-;-;-;-;-;-;-;1;-;1
140023 Caroebe;-;-;-;1;-;-;-;-;-;-;-;-;-;1
150140 Belém;-;1;3;2;-;-;-;-;-;-;-;-;1;7
150420 Marabá;-;-;1;1;-;-;-;-;-;-;-;-;-;2
150613 Redenção;-;1;-;-;-;-;-;-;-;-;-;-;-;1
150810 Tucuruí;-;-;1;-;-;-;-;-;-;-;-;-;-;1
150000 Município ignorado - PA;-;1;-;-;-;-;-;-;-;-;-;-;-;1
170035 Aliança do Tocantins;-;-;-;1;-;-;-;-;-;-;-;-;-;1
170200 Araguaçu;-;1;-;-;-;-;-;-;-;-;-;-;-;1
170600 Couto Magalhães;-;-;-;-;1;-;-;-;-;-;-;-;-;1
172100 Palmas;-;1;1;-;-;-;-;-;-;-;-;-;-;2
210530 Imperatriz;-;-;1;-;1;-;-;-;-;-;-;-;-;2
211130 São Luís;-;-;1;-;1;-;-;-;-;1;-;-;-;3
221100 Teresina;-;1;-;-;-;-;-;-;-;-;-;-;-;1
230160 Assaré;-;-;-;1;-;-;-;-;-;-;-;-;-;1
230360 Catarina;-;-;-;1;-;-;-;-;-;-;-;-;-;1
230365 Catunda;-;-;-;1;-;-;-;-;-;-;-;-;-;1
230440 Fortaleza;-;3;2;2;2;2;1;-;-;-;-;-;-;12
230660 Itatira;-;-;1;-;-;-;-;-;-;-;-;-;-;1
230670 Jaguaretama;-;-;-;-;-;-;-;-;1;-;-;-;-;1
230710 Jardim;-;-;-;1;-;-;-;-;-;-;-;-;-;1
230730 Juazeiro do Norte;-;-;2;-;-;2;-;-;-;-;-;-;-;4
230765 Maracanaú;-;-;-;-;-;1;-;-;-;-;-;-;-;1
231190 Saboeiro;-;-;1;-;-;-;-;-;-;-;-;-;-;1
231230 São Benedito;-;-;2;1;2;1;-;-;-;-;-;-;-;6
240580 João Câmara;-;1;-;-;-;-;-;-;-;-;-;-;-;1
240810 Natal;-;2;3;4;-;-;-;-;-;-;-;-;-;9
240910 Passa e Fica;-;-;-;-;-;1;-;-;-;-;-;-;-;1
241250 São Miguel;-;-;-;3;-;-;-;-;-;-;-;-;-;3
250100 Araruna;-;-;-;1;-;-;-;-;-;-;-;-;-;1
250130 Aroeiras;-;-;1;-;-;-;-;-;-;-;-;-;-;1
250350 Cacimba de Dentro;-;1;-;-;-;-;-;-;-;-;-;-;-;1
250430 Catolé do Rocha;-;-;-;-;-;-;1;-;-;-;-;-;-;1
250750 João Pessoa;-;-;1;2;-;-;-;-;-;-;-;1;-;4
250970 Monteiro;-;1;-;-;-;-;-;-;-;-;-;-;-;1
251230 Princesa Isabel;-;-;-;1;-;-;-;-;-;-;-;-;-;1
251320 Santa Cruz;-;-;-;1;-;-;-;-;-;-;-;-;-;1
250000 Município ignorado - PB;-;2;-;-;1;-;-;-;-;-;-;-;-;3
